Nacional;Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total;01 Andalucía;Mujeres;2000;3.730.640
Total;01 Andalucía;Mujeres;1999;3.712.437
Total;01 Andalucía;Mujeres;1998;3.677.509
Total;01 Andalucía;Mujeres;1997;""
Total;01 Andalucía;Mujeres;1996;3.675.437
Total;02 Aragón;Total;2021;1.326.261
Total;02 Aragón;Total;2020;1.329.391
Total;02 Aragón;Total;2019;1.319.291
Total;02 Aragón;Total;2018;1.308.728
Total;02 Aragón;Total;2017;1.308.750
Total;02 Aragón;Total;2016;1.308.563
Total;02 Aragón;Total;2015;1.317.847
Total;02 Aragón;Total;2014;1.325.385
Total;02 Aragón;Total;2013;1.347.150
Total;02 Aragón;Total;2012;1.349.467
Total;02 Aragón;Total;2011;1.346.293
Total;02 Aragón;Total;2010;1.347.095
Total;02 Aragón;Total;2009;1.345.473
Total;02 Aragón;Total;2008;1.326.918
Total;02 Aragón;Total;2007;1.296.655
Total;02 Aragón;Total;2006;1.277.471
Total;02 Aragón;Total;2005;1.269.027
Total;02 Aragón;Total;2004;1.249.584
Total;02 Aragón;Total;2003;1.230.090
Total;02 Aragón;Total;2002;1.217.514
Total;02 Aragón;Total;2001;1.199.753
Total;02 Aragón;Total;2000;1.189.909
Total;02 Aragón;Total;1999;1.186.849
Total;02 Aragón;Total;1998;1.183.234
Total;02 Aragón;Total;1997;""
Total;02 Aragón;Total;1996;1.187.546
Total;02 Aragón;Hombres;2021;655.248
Total;02 Aragón;Hombres;2020;656.056
Total;02 Aragón;Hombres;2019;650.694
Total;02 Aragón;Hombres;2018;645.498
Total;02 Aragón;Hombres;2017;645.895
Total;02 Aragón;Hombres;2016;647.206
Total;02 Aragón;Hombres;2015;652.687
Total;02 Aragón;Hombres;2014;656.964
Total;02 Aragón;Hombres;2013;669.987
Total;02 Aragón;Hombres;2012;671.898
Total;02 Aragón;Hombres;2011;671.286
Total;02 Aragón;Hombres;2010;673.177
Total;02 Aragón;Hombres;2009;673.819
Total;02 Aragón;Hombres;2008;664.403
Total;02 Aragón;Hombres;2007;646.996
Total;02 Aragón;Hombres;2006;636.659
Total;02 Aragón;Hombres;2005;632.148
Total;02 Aragón;Hombres;2004;620.874
Total;02 Aragón;Hombres;2003;610.210
Total;02 Aragón;Hombres;2002;603.149
Total;02 Aragón;Hombres;2001;592.682
Total;02 Aragón;Hombres;2000;586.122
Total;02 Aragón;Hombres;1999;584.361
Total;02 Aragón;Hombres;1998;582.366
Total;02 Aragón;Hombres;1997;""
Total;02 Aragón;Hombres;1996;584.535
Total;02 Aragón;Mujeres;2021;671.013
Total;02 Aragón;Mujeres;2020;673.335
Total;02 Aragón;Mujeres;2019;668.597
Total;02 Aragón;Mujeres;2018;663.230
Total;02 Aragón;Mujeres;2017;662.855
Total;02 Aragón;Mujeres;2016;661.357
Total;02 Aragón;Mujeres;2015;665.160
Total;02 Aragón;Mujeres;2014;668.421
Total;02 Aragón;Mujeres;2013;677.163
Total;02 Aragón;Mujeres;2012;677.569
Total;02 Aragón;Mujeres;2011;675.007
Total;02 Aragón;Mujeres;2010;673.918
Total;02 Aragón;Mujeres;2009;671.654
Total;02 Aragón;Mujeres;2008;662.515
Total;02 Aragón;Mujeres;2007;649.659
Total;02 Aragón;Mujeres;2006;640.812
Total;02 Aragón;Mujeres;2005;636.879
Total;02 Aragón;Mujeres;2004;628.710
Total;02 Aragón;Mujeres;2003;619.880
Total;02 Aragón;Mujeres;2002;614.365
Total;02 Aragón;Mujeres;2001;607.071
Total;02 Aragón;Mujeres;2000;603.787
Total;02 Aragón;Mujeres;1999;602.488
Total;02 Aragón;Mujeres;1998;600.868
Total;02 Aragón;Mujeres;1997;""
Total;02 Aragón;Mujeres;1996;603.011
Total;03 Asturias, Principado de;Total;2021;1.011.792
Total;03 Asturias, Principado de;Total;2020;1.018.784
Total;03 Asturias, Principado de;Total;2019;1.022.800
Total;03 Asturias, Principado de;Total;2018;1.028.244
Total;03 Asturias, Principado de;Total;2017;1.034.960
Total;03 Asturias, Principado de;Total;2016;1.042.608
Total;03 Asturias, Principado de;Total;2015;1.051.229
Total;03 Asturias, Principado de;Total;2014;1.061.756
Total;03 Asturias, Principado de;Total;2013;1.068.165
Total;03 Asturias, Principado de;Total;2012;1.077.360
Total;03 Asturias, Principado de;Total;2011;1.081.487
Total;03 Asturias, Principado de;Total;2010;1.084.341
Total;03 Asturias, Principado de;Total;2009;1.085.289
Total;03 Asturias, Principado de;Total;2008;1.080.138
Total;03 Asturias, Principado de;Total;2007;1.074.862
Total;03 Asturias, Principado de;Total;2006;1.076.896
Total;03 Asturias, Principado de;Total;2005;1.076.635
Total;03 Asturias, Principado de;Total;2004;1.073.761
Total;03 Asturias, Principado de;Total;2003;1.075.381
Total;03 Asturias, Principado de;Total;2002;1.073.971
Total;03 Asturias, Principado de;Total;2001;1.075.329
Total;03 Asturias, Principado de;Total;2000;1.076.567
Total;03 Asturias, Principado de;Total;1999;1.084.314
Total;03 Asturias, Principado de;Total;1998;1.081.834
Total;03 Asturias, Principado de;Total;1997;""
Total;03 Asturias, Principado de;Total;1996;1.087.885
Total;03 Asturias, Principado de;Hombres;2021;482.665
Total;03 Asturias, Principado de;Hombres;2020;486.066
Total;03 Asturias, Principado de;Hombres;2019;488.137
Total;03 Asturias, Principado de;Hombres;2018;490.738
Total;03 Asturias, Principado de;Hombres;2017;493.911
